fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-10-30,6759,1788,5816,1542,0.26453617399023527,0.26513067400275103
2020-10-31,2165,739,1920,651,0.34133949191685914,0.3390625
2020-11-01,994,389,825,320,0.39134808853118713,0.3878787878787879
2020-11-02,2018,706,1757,627,0.34985133795837464,0.35685828116107
2020-11-03,6964,2410,6064,2087,0.34606547960941986,0.3441622691292876
2020-11-04,6995,2222,6145,1980,0.3176554681915654,0.322213181448332
2020-11-05,6771,2084,6037,1889,0.3077831930290947,0.31290376014576776
2020-11-06,6469,1936,5736,1723,0.2992734580306075,0.30038354253835425
2020-11-07,2608,891,2288,787,0.3416411042944785,0.34396853146853146
2020-11-08,1034,441,821,348,0.42649903288201163,0.4238733252131547
2020-11-09,7302,2610,6383,2286,0.3574363188167625,0.3581388062039793
2020-11-10,7935,2708,6963,2333,0.3412728418399496,0.33505672842165735
2020-11-11,6887,2107,5979,1843,0.30593872513431103,0.3082455260076936
2020-11-12,6601,1858,5766,1630,0.2814725041660355,0.2826916406520985
2020-11-13,6600,1926,5837,1695,0.2918181818181818,0.2903888984067158
2020-11-14,2125,693,1847,586,0.3261176470588235,0.31727125067677314
2020-11-15,1020,366,888,325,0.3588235294117647,0.36599099099099097
2020-11-16,822,342,701,288,0.41605839416058393,0.4108416547788873
2020-11-17,6643,1999,5810,1726,0.3009182598223694,0.29707401032702235
2020-11-18,6571,2225,5712,1896,0.33860903971998174,0.3319327731092437
2020-11-19,6943,2180,6080,1928,0.3139853089442604,0.3171052631578947
2020-11-20,6384,1905,5545,1634,0.2984022556390977,0.2946798917944094
2020-11-21,3742,1215,3338,1072,0.32469267771245325,0.3211503894547633
2020-11-22,2486,1493,2077,1230,0.6005631536604988,0.5922002888781897
2020-11-23,8855,3406,7650,2841,0.3846414455110107,0.37137254901960787
2020-11-24,10244,3130,8865,2762,0.30554470909800857,0.3115623237450649
2020-11-25,10378,2596,8967,2260,0.2501445365195606,0.25203524032563845
2020-11-26,10570,2775,9111,2415,0.2625354777672658,0.2650642081000988
2020-11-27,10317,2758,8970,2400,0.267325772996026,0.26755852842809363
2020-11-28,4214,1050,3693,887,0.24916943521594684,0.24018413214189005
2020-11-29,2419,735,2064,631,0.30384456386936753,0.3057170542635659
2020-11-30,11574,3227,10008,2751,0.2788145844133402,0.2748800959232614
2020-12-01,12977,3424,11221,2973,0.2638514294521076,0.2649496479814633
2020-12-02,14523,3645,12492,3129,0.250981202230944,0.25048030739673394
2020-12-03,14891,3749,12930,3256,0.25176280975085624,0.25181747873163185
2020-12-04,15624,3893,13372,3312,0.2491679467485919,0.24768172300329047
2020-12-05,5456,1472,4826,1289,0.2697947214076246,0.26709490261085783
2020-12-06,3403,938,2878,774,0.275639141933588,0.2689367616400278
2020-12-07,16414,4715,14054,4014,0.28725478250274156,0.28561263697168066
2020-12-08,18026,4857,15408,4092,0.2694441362476423,0.26557632398753894
2020-12-09,17078,4594,14614,3872,0.2690010539875864,0.2649514164499795
2020-12-10,17741,4549,15313,3896,0.2564117017079082,0.2544243453274995
2020-12-11,17024,4375,14615,3754,0.25699013157894735,0.2568593910366062
2020-12-12,5709,1737,4987,1512,0.3042564372044141,0.3031882895528374
2020-12-13,3334,1040,2739,854,0.3119376124775045,0.3117926250456371
2020-12-14,17390,5105,14539,4275,0.2935595169637723,0.2940367287984043
2020-12-15,17153,5025,14586,4254,0.2929516702617618,0.2916495269436446
2020-12-16,16643,4933,13922,4131,0.2964008892627531,0.2967246085332567
2020-12-17,16883,4653,14184,3884,0.27560267724930404,0.27382966723068247
2020-12-18,17508,4937,15001,4111,0.2819853781128627,0.2740483967735484
2020-12-19,6761,1761,5950,1516,0.26046442833900313,0.25478991596638656
2020-12-20,3947,1050,3227,858,0.2660248289840385,0.2658816237991943
2020-12-21,18338,5665,15719,4826,0.3089213654706075,0.3070169858133469
2020-12-22,17416,4913,15016,4167,0.28209692237023426,0.2775039957378796
2020-12-23,16729,4667,14527,3992,0.2789766274134736,0.2747986507881875
2020-12-24,12972,3456,11412,2990,0.2664199814986124,0.2620049071153172
2020-12-25,2561,840,2082,661,0.3279968762202265,0.3174831892411143
2020-12-26,5453,1594,4660,1378,0.2923161562442692,0.2957081545064378
2020-12-27,3732,1063,3171,893,0.28483386923901394,0.2816146326080101
2020-12-28,16169,4451,14058,3916,0.2752798565155545,0.27856025039123633
2020-12-29,17441,4693,15221,4054,0.26907860787798865,0.2663425530517049
2020-12-30,16469,4208,14452,3641,0.25551035278401846,0.25193744810406865
2020-12-31,12834,3436,11433,2985,0.2677263518778245,0.26108632904749407
2021-01-01,2828,812,2474,704,0.2871287128712871,0.28455941794664513
2021-01-02,4696,1566,3986,1331,0.33347529812606475,0.33391871550426494
2021-01-03,4290,1328,3507,1091,0.3095571095571096,0.3110921015112632
2021-01-04,15803,4545,13771,3929,0.2876036195659052,0.2853097088083654
2021-01-05,18080,5128,15609,4488,0.2836283185840708,0.28752642706131076
